Manufacturer,Model Name,Equipment Type,Age,OS,Certification Level,Scanning Rate,Error Rate,Reliability
Dominion,ImageCast Precinct with Integrated BMD,,-1,,,,,
Dominion,ImageCast X/ICX DRE,,-1,,,,,
Dominion,ImageCast Central/ICC,,-1,,,,,
DOMINION,Precinct 2,,-1,,,,,
ES&S,ExpressVote,BMD,11,,VVSG 1.0 (2005),,,
ES&S,DS450,Batch-Fed Optical Scanner,9,,VVSG 1.0 (2005),72 ballots/minute,,
ES&S,DS850,Batch-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
ES&S,DS200,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
ES&S,DS950,Batch-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
ES&S,ExpressTouch,DRE Touchscreen,-1,,,,,
ES&S,ExpressVoteXL,,-1,,,,,
DOMINION,IMAGECAST X/V5.17.17.1,,-1,,,,,
DOMINION,ICC CANNON DR-G1130/V5.17.17.1 COTS,,-1,,,,,
DOMINION,ICC INTERSCAN HIPRO 821/V5.17.17.1 COTS,,-1,,,,,
DOMINION,IMAGECAST PRINCINCT2/V5.17.17.1,,-1,,,,,
ES&S,DS300,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
Unisyn,OpenElect FVT,,-1,,,,,
Unisyn,OpenElect Voting Central Scan/OVCS,,-1,,,,,
ES&S,ExpressVote,BMD,11,,VVSG 1.0 (2005),,,
ES&S,ExpressVote,BMD,11,,VVSG 1.0 (2005),,,
ES&S,iVotronic,DRE Touchscreen,-1,,,,,
ES&S,ExpressVote Tabulator,,-1,,,,,
ES&S,ExpressVote,BMD,11,,VVSG 1.0 (2005),,,
ES&S,DS200,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
ES&S,DS200,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
Dominion,ImageCast X/ICX BMD,,-1,,,,,
Dominion,ImageCast Evolution/ICE,,-1,,,,,
Hart,Verity Touch Writer,,-1,,,,,
Hart,Verity Central,,-1,,,,,
Hart,Verity Scan,,-1,,,,,
Los Angeles County,VSAP Ballot Marking Device,,-1,,,,,
Los Angeles County,IBML,,-1,,,,,
Avalue,SLD-21V-237-B1R,,-1,,,,,
Dominion,Democracy Suite 5.10-A,,-1,,,,,
Dominion,ImageCast X/Samsung Galaxy Tab Pro,,-1,,,,,
Clear Ballot,ClearAccess,BMD,-1,,VVSG 1.0 (2005),,,
Clear Ballot,ClearCount,Batch-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
IVS,Inspire Ballot Marking System,,-1,,,,,
Premier,AccuVote-OS,,-1,,,,,
ES&S,ExpressVote XL,BMD/Tabulator,-1,,VVSG 1.0 (2005),,,
ES&S,DS200,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
Dominion,ImageCast Precinct/ICP,,-1,,,,,
ES&S,ExpressVote,BMD,11,,VVSG 1.0 (2005),,,
Unisyn,OpenElect Voting Optical Scan/OVO,,-1,,,,,
Hart,Verity Scan,,-1,,,,,
Unisyn,ACCUVOTE,,-1,,,,,
Unisyn,OpenElect OVI,BMD,-1,,,,,
ES&S,AutoMARK,BMD,-1,,,,,
Hart,VERACITY,,-1,,,,,
Hart,INTERCIVIC VERITY 2.7,,-1,,,,,
Unisyn,FREEDOM VOTE TABLET,,-1,,,,,
Diebold,TSX,,-1,,,,,
ES&S,M100,,-1,,,,,
Premier,AccuVote-TSX,,-1,,,,,
Diebold,TOUCHSCREEN,,-1,,,,,
Diebold,OPTICAL SCAN,,-1,,,,,
Diebold,AccuVote TSX,,-1,,,,,
Diebold,AccuVote OS,,-1,,,,,
ES&S,DS200,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
MicroVote,EMS 4.41 VOTING SYSTEM,,-1,,,,,
MicroVotes,Chatsworth ACP,,-1,,,,,
Hart,Verity VOTING 2.5,,-1,,,,,
Hart,INTERCIVIC 2.5,,-1,,,,,
Unisyn,OpenElect Freedom Vote Scan,,-1,,,,,
Hart,INTERCIVIC,,-1,,,,,
Hart,Verity DUO,,-1,,,,,
Hart,INTERCIVIC VERITY 2.5,,-1,,,,,
Hart,VERITY 2.5,,-1,,,,,
Hart,Verity SCAN,,-1,,,,,
Hart,Verity Duo,,-1,,,,,
Hart,VERITY DUO,,-1,,,,,
Hart,eScan,,-1,,,,,
Hart,Verity,,-1,,,,,
Hart,INTERCIVIC VERITY DUO,,-1,,,,,
Hart,Verity DUO STANDALONE,,-1,,,,,
Hart,Verity Duo,,-1,,,,,
HART,DUO STAND ALONE,,-1,,,,,
Sequoia,Advantage,,-1,,,,,
Canon,DR-G2140,,-1,,,,,
Canon,DR-G2141,,-1,,,,,
Canon,DR-G2142,,-1,,,,,
Canon,DR-G2143,,-1,,,,,
Canon,DR-G2144,,-1,,,,,
Canon,DR-G2145,,-1,,,,,
Canon,DR-G2146,,-1,,,,,
Canon,DR-G2147,,-1,,,,,
Canon,DR-G2148,,-1,,,,,
Canon,DR-G2149,,-1,,,,,
Canon,DR-G2150,,-1,,,,,
Canon,DR-G2151,,-1,,,,,
Canon,DR-G2152,,-1,,,,,
Canon,DR-G2153,,-1,,,,,
Canon,DR-G2154,,-1,,,,,
Canon,DR-G2155,,-1,,,,,
Canon,DR-G2156,,-1,,,,,
Canon,DR-G2157,,-1,,,,,
Canon,DR-G2158,,-1,,,,,
Canon,DR-G2159,,-1,,,,,
Canon,DR-G2160,,-1,,,,,
Canon,DR-G2161,,-1,,,,,
Canon,DR-G2162,,-1,,,,,
Canon,DR-G2163,,-1,,,,,
Canon,DR-G2164,,-1,,,,,
Canon,DR-G2165,,-1,,,,,
Canon,DR-G2166,,-1,,,,,
Canon,DR-G2167,,-1,,,,,
Canon,DR-G2168,,-1,,,,,
Canon,DR-G2169,,-1,,,,,
Canon,DR-G2170,,-1,,,,,
Canon,DR-G2171,,-1,,,,,
Canon,DR-G2172,,-1,,,,,
Canon,DR-G2173,,-1,,,,,
Canon,DR-G2174,,-1,,,,,
Canon,DR-G2175,,-1,,,,,
Canon,DR-G2176,,-1,,,,,
Canon,DR-G2177,,-1,,,,,
Canon,DR-G2178,,-1,,,,,
Canon,DR-G2179,,-1,,,,,
Canon,DR-G2180,,-1,,,,,
Canon,DR-G2181,,-1,,,,,
Canon,DR-G2182,,-1,,,,,
Canon,DR-G2183,,-1,,,,,
Canon,DR-G2184,,-1,,,,,
Canon,DR-G2185,,-1,,,,,
Canon,DR-G2186,,-1,,,,,
Canon,DR-G2187,,-1,,,,,
Canon,DR-G2188,,-1,,,,,
Canon,DR-G2189,,-1,,,,,
Canon,DR-G2190,,-1,,,,,
Canon,DR-G2191,,-1,,,,,
Canon,DR-G2192,,-1,,,,,
Canon,DR-G2193,,-1,,,,,
Canon,DR-G2194,,-1,,,,,
Canon,DR-G2195,,-1,,,,,
Canon,DR-G2196,,-1,,,,,
Canon,DR-G2197,,-1,,,,,
Canon,DR-G2198,,-1,,,,,
Canon,DR-G2199,,-1,,,,,
Canon,DR-G2200,,-1,,,,,
Canon,DR-G2201,,-1,,,,,
Canon,DR-G2202,,-1,,,,,
Canon,DR-G2203,,-1,,,,,
Democracy Live,OmniBallot Tablet,BMD,-1,,,,,
VotingWorks,,,-1,,,,,
InterScan,HiPro 8x1,,-1,,,,,
VotingWorks,VXSUITE 3.1.2,,-1,,,,,
Dominion,AccuVote OS,,-1,,,,,
Clear Ballot,ClearMark,BMD,-1,,NYSBOE (2023),,,
Clear Ballot,ClearCast,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
Unisyn,FREEDOM VOTE 8033-9200,,-1,,,,,
Unisyn,FREEDOM VOTE SCANNER,,-1,,,,,
Unisyn,OPENELECT VOTING OPTICAL,,-1,,,,,
ES&S,DS200,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
ES&S,ExpressVote,BMD,11,,VVSG 1.0 (2005),,,
ES&S,ExpressVote,BMD,11,,VVSG 1.0 (2005),,,
Clear Ballot,ClearAccess,BMD,-1,,VVSG 1.0 (2005),,,
Clear Ballot,ClearCast,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
ES&S,ExpressVote,BMD,11,,VVSG 1.0 (2005),,,
Fujitsu,fi-7900,,-1,,,,,
Hart,BallotNow,,-1,,,,,
ES&S,M650,,-1,,,,,
MicroVote,INFINITY VP-1 WITH VVPAT,,-1,,,,,
Hart,VERITY DUO,,-1,,,,,
ES&S,ExpressTouch,DRE Touchscreen,-1,,,,,
Hart,Verity Touch DRE,,-1,,,,,
Hart,DUOS VEERITY 2.5,,-1,,,,,
Hart,eSlate,,-1,,,,,
Kodak,I260,,-1,,,,,
Kodak,I620,,-1,,,,,
Hart,Verity DUO GO,,-1,,,,,
Hart,Verity TOUCH DUO,,-1,,,,,
HART,VERITY DUO,,-1,,,,,
BALLOT MARKERS,"HART VERITY DUO, CONTROLLERS, SCANNERS",,-1,,,,,
HART,VERITY CONTROLLER,,-1,,,,,
Hart,VERITY DUO VERSION 2.5,,-1,,,,,
Hart,VERITY DUO STANDALONE WITH ACCESS,,-1,,,,,
Hart,DUO,,-1,,,,,
